"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","1.0476","1.0885","1.0938","1.0462","","-3.74%"
"10/01/2024","1.0883","1.1101","1.1106","1.0772","","-2.25%"
"09/01/2024","1.1134","1.1045","1.1213","1.1001","","0.79%"
"08/01/2024","1.1047","1.0826","1.1201","1.0775","","2.05%"
"07/01/2024","1.0825","1.0728","1.0948","1.0709","","1.05%"
"06/01/2024","1.0713","1.0851","1.0917","1.0666","","-1.18%"
"05/01/2024","1.0841","1.0664","1.0896","1.0649","","1.65%"
"04/01/2024","1.0665","1.0788","1.0886","1.0601","","-1.19%"
"03/01/2024","1.0793","1.0804","1.0982","1.0767","","-0.09%"
"02/01/2024","1.0803","1.0814","1.0898","1.0695","","-0.12%"
"01/01/2024","1.0816","1.1044","1.1048","1.0795","","-1.99%"
"12/01/2023","1.1036","1.0887","1.1141","1.0723","","1.38%"
"11/01/2023","1.0886","1.0574","1.1018","1.0517","","2.93%"
"10/01/2023","1.0576","1.0568","1.0695","1.0448","","0.06%"
"09/01/2023","1.0570","1.0840","1.0883","1.0488","","-2.50%"
"08/01/2023","1.0841","1.0996","1.1065","1.0766","","-1.38%"
"07/01/2023","1.0993","1.0911","1.1277","1.0833","","0.76%"
"06/01/2023","1.0910","1.0690","1.1012","1.0661","","2.08%"
"05/01/2023","1.0688","1.1035","1.1092","1.0634","","-3.01%"
"04/01/2023","1.1020","1.0847","1.1096","1.0788","","1.67%"
"03/01/2023","1.0839","1.0576","1.0931","1.0516","","2.49%"
"02/01/2023","1.0576","1.0864","1.1034","1.0532","","-2.63%"
"01/01/2023","1.0862","1.0702","1.0930","1.0483","","1.50%"
"12/01/2022","1.0702","1.0407","1.0737","1.0393","","2.85%"
"11/01/2022","1.0405","0.9882","1.0497","0.9729","","5.28%"
"10/01/2022","0.9883","0.9800","1.0094","0.9632","","0.86%"
"09/01/2022","0.9799","1.0055","1.0199","0.9535","","-2.57%"
"08/01/2022","1.0057","1.0218","1.0369","0.9900","","-1.58%"
"07/01/2022","1.0218","1.0481","1.0487","0.9952","","-2.52%"
"06/01/2022","1.0482","1.0734","1.0775","1.0359","","-2.34%"
"05/01/2022","1.0733","1.0550","1.0788","1.0350","","1.82%"
"04/01/2022","1.0541","1.1065","1.1077","1.0471","","-4.74%"
"03/01/2022","1.1065","1.1218","1.1234","1.0805","","-1.37%"
"02/01/2022","1.1219","1.1234","1.1496","1.1106","","-0.12%"
"01/01/2022","1.1233","1.1365","1.1484","1.1121","","-1.19%"
"12/01/2021","1.1368","1.1339","1.1387","1.1221","","0.28%"
"11/01/2021","1.1336","1.1559","1.1617","1.1185","","-1.95%"
"10/01/2021","1.1561","1.1582","1.1693","1.1524","","-0.17%"
"09/01/2021","1.1581","1.1810","1.1910","1.1562","","-1.91%"
"08/01/2021","1.1807","1.1864","1.1901","1.1664","","-0.53%"
"07/01/2021","1.1870","1.1859","1.1910","1.1752","","0.13%"
"06/01/2021","1.1855","1.2227","1.2255","1.1845","","-3.03%"
"05/01/2021","1.2225","1.2031","1.2267","1.1985","","1.72%"
